id,CROP_ID,CROP,input_level,SQI_code,property,phase_id,phase,score,property_id
140,2,Wetland_Rice,1,7,ROOTS,1,Rooting - No obstacle  to roots between 0 and 80 cm (ROO=1),100,H_PHROO1_SQ7_100
141,2,Wetland_Rice,1,7,ROOTS,2,Rooting - Obstacle to roots between 60 and 80 cm depth (ROO=2),100,H_PHROO2_SQ7_100
142,2,Wetland_Rice,1,7,ROOTS,3,Rooting - Obstacle to roots between 40 and 60 cm depth (ROO=3),100,H_PHROO3_SQ7_100
143,2,Wetland_Rice,1,7,ROOTS,4,Rooting - Obstacle to roots between 20 and 40 cm depth (ROO=4),10,H_PHROO4_SQ7_100
144,2,Wetland_Rice,1,7,ROOTS,5,Rooting - Obstacle to roots between 0 and 80 cm depth (ROO=5),10,H_PHROO5_SQ7_100
145,2,Wetland_Rice,1,7,ROOTS,6,Rooting - Obstacle to roots between 0 and 20 cm depth (ROO=6),0,H_PHROO6_SQ7_100
146,2,Wetland_Rice,1,7,IL,0,Impermeable layer - No information (IL=0),100,H_PHIL0_SQ7_100
147,2,Wetland_Rice,1,7,IL,1,Impermeable layer - No impermeable within 150 cm (IL=1),100,H_PHIL1_SQ7_100
148,2,Wetland_Rice,1,7,IL,2,Impermeable layer - Impermeable between 80 and 150 cm (IL=2),100,H_PHIL2_SQ7_100
149,2,Wetland_Rice,1,7,IL,3,Impermeable layer - Impermeable between 40 and 80 cm (IL=3),100,H_PHIL3_SQ7_100
150,2,Wetland_Rice,1,7,IL,4,Impermeable layer - Impermeable within 40 cm (IL=4),10,H_PHIL4_SQ7_100
151,3,Dryland_Rice,1,3,PHASE,1,Stony,75,H_PH01_SQ3_100
152,3,Dryland_Rice,1,3,PHASE,2,Lithic,50,H_PH02_SQ3_100
153,3,Dryland_Rice,1,3,PHASE,3,Petric,60,H_PH03_SQ3_50
154,3,Dryland_Rice,1,3,PHASE,4,Petrocalcic,60,H_PH04_SQ3_50
155,3,Dryland_Rice,1,3,PHASE,5,Petrogypsic,60,H_PH05_SQ3_50
156,3,Dryland_Rice,1,3,PHASE,6,Petroferric,60,H_PH06_SQ3_50
157,3,Dryland_Rice,1,3,PHASE,8,Fragipan,70,H_PH08_SQ3_50
158,3,Dryland_Rice,1,3,PHASE,9,Duripan,70,H_PH09_SQ3_50
159,3,Dryland_Rice,1,3,PHASE,13,Anthraquic,70,H_PH13_SQ3_100
160,3,Dryland_Rice,1,3,PHASE,17,Placic,70,H_PH17_SQ3_50
161,3,Dryland_Rice,1,3,PHASE,18,Rudic,75,H_PH18_SQ3_100
162,3,Dryland_Rice,1,3,PHASE,20,Skeletic,60,H_PH20_SQ3_50
163,3,Dryland_Rice,1,3,PHASE,23,Erosion,100,H_PH23_SQ3_100
164,3,Dryland_Rice,1,3,PHASE,25,Gravelly ,60,H_PH25_SQ3_50
165,3,Dryland_Rice,1,3,PHASE,26,Concretionary ,60,H_PH26_SQ3_50
166,3,Dryland_Rice,1,3,ROOTS,0,Rooting - No information (ROO= 0),100,H_PHROO0_SQ3_100
167,3,Dryland_Rice,1,3,ROOTS,1,Rooting - No obstacle  to roots between 0 and 80 cm (ROO=1),100,H_PHROO1_SQ3_100
168,3,Dryland_Rice,1,3,ROOTS,2,Rooting - Obstacle to roots between 60 and 80 cm depth (ROO=2),70,H_PHROO2_SQ3_100
169,3,Dryland_Rice,1,3,ROOTS,3,Rooting - Obstacle to roots between 40 and 60 cm depth (ROO=3),60,H_PHROO3_SQ3_100
170,3,Dryland_Rice,1,3,ROOTS,4,Rooting - Obstacle to roots between 20 and 40 cm depth (ROO=4),40,H_PHROO4_SQ3_100
171,3,Dryland_Rice,1,3,ROOTS,5,Rooting - Obstacle to roots between 0 and 80 cm depth (ROO=5),50,H_PHROO5_SQ3_100
172,3,Dryland_Rice,1,3,ROOTS,6,Rooting - Obstacle to roots between 0 and 20 cm depth (ROO=6),0,H_PHROO6_SQ3_100
173,3,Dryland_Rice,1,3,IL,0,Impermeable layer - No information (IL=0),100,H_PHIL0_SQ3_100
174,3,Dryland_Rice,1,3,IL,1,Impermeable layer - No impermeable within 150 cm (IL=1),100,H_PHIL1_SQ3_100
175,3,Dryland_Rice,1,3,IL,2,Impermeable layer - Impermeable between 80 and 150 cm (IL=2),90,H_PHIL2_SQ3_100
176,3,Dryland_Rice,1,3,IL,3,Impermeable layer - Impermeable between 40 and 80 cm (IL=3),60,H_PHIL3_SQ3_100
177,3,Dryland_Rice,1,3,IL,4,Impermeable layer - Impermeable within 40 cm (IL=4),30,H_PHIL4_SQ3_100
178,3,Dryland_Rice,1,4,PHASE,7,Phreatic,100,H_PH07_SQ4_100
179,3,Dryland_Rice,1,4,PHASE,13,Anthraquic,100,H_PH13_SQ4_100
180,3,Dryland_Rice,1,4,PHASE,16,Inundic,100,H_PH16_SQ4_100
181,3,Dryland_Rice,1,4,PHASE,17,Placic,100,H_PH17_SQ4_50
182,3,Dryland_Rice,1,4,PHASE,29,Excessively drained,100,H_PH29_SQ4_100
183,3,Dryland_Rice,1,4,PHASE,30,Flooded,100,H_PH30_SQ4_100
184,3,Dryland_Rice,1,4,IL,0,Impermeable layer - No information (IL=0),100,H_PHIL0_SQ4_100
185,3,Dryland_Rice,1,4,IL,1,Impermeable layer - No impermeable within 150 cm (IL=1),100,H_PHIL1_SQ4_100
186,3,Dryland_Rice,1,4,IL,2,Impermeable layer - Impermeable between 80 and 150 cm (IL=2),100,H_PHIL2_SQ4_100
187,3,Dryland_Rice,1,4,IL,3,Impermeable layer - Impermeable between 40 and 80 cm (IL=3),100,H_PHIL3_SQ4_100
188,3,Dryland_Rice,1,4,IL,4,Impermeable layer - Impermeable within 40 cm (IL=4),100,H_PHIL4_SQ4_100
189,3,Dryland_Rice,1,4,SWR,0,No information (WR=0),100,H_PHWR0_SQ4_100
190,3,Dryland_Rice,1,4,SWR,1,"Not wet within 80 cm for over 3 months, nor wet within 40 cm for over 1 month (WR=1)",100,H_PHWR1_SQ4_100
191,3,Dryland_Rice,1,4,SWR,2,"Wet within 80 cm for  3 to 6 months, but not wet within 40 cm for over 1 month (WR=2)",100,H_PHWR2_SQ4_100
192,3,Dryland_Rice,1,4,SWR,3,"Wet within 80 cm over 6 months, but not wet within 40 cm for over 11 month (WR=3)",100,H_PHWR3_SQ4_100
193,3,Dryland_Rice,1,4,SWR,4,Wet within 40 cm depth for over 11 month (WR=4),100,H_PHWR4_SQ4_100
194,3,Dryland_Rice,1,5,PHASE,10,Saline,20,H_PH10_SQ5_50
195,3,Dryland_Rice,1,5,PHASE,11,Sodic,20,H_PH11_SQ5_50
196,3,Dryland_Rice,1,5,PHASE,19,Salic,20,H_PH19_SQ5_50
197,3,Dryland_Rice,1,6,PHASE,4,Petrocalcic,50,H_PH04_SQ6_50
198,3,Dryland_Rice,1,7,PHASE,5,Petrogypsic,35,H_PH05_SQ6_50
199,3,Dryland_Rice,1,7,PHASE,1,Stony,75,H_PH01_SQ7_100
200,3,Dryland_Rice,1,7,PHASE,2,Lithic,75,H_PH02_SQ7_100
201,3,Dryland_Rice,1,7,PHASE,3,Petric,50,H_PH03_SQ7_50
202,3,Dryland_Rice,1,7,PHASE,4,Petrocalcic,50,H_PH04_SQ7_50
203,3,Dryland_Rice,1,7,PHASE,5,Petrogypsic,50,H_PH05_SQ7_50
204,3,Dryland_Rice,1,7,PHASE,6,Petroferric,50,H_PH06_SQ7_50
205,3,Dryland_Rice,1,7,PHASE,8,Fragipan,100,H_PH08_SQ7_50
206,3,Dryland_Rice,1,7,PHASE,9,Duripan,100,H_PH09_SQ7_50
207,3,Dryland_Rice,1,7,PHASE,17,Placic,100,H_PH17_SQ7_50
208,3,Dryland_Rice,1,7,PHASE,18,Rudic,75,H_PH18_SQ7_100
209,3,Dryland_Rice,1,7,PHASE,20,Skeletic,50,H_PH20_SQ7_50
210,3,Dryland_Rice,1,7,PHASE,23,Erosion,100,H_PH23_SQ7_100
211,3,Dryland_Rice,1,7,PHASE,24,No limitation to agricultural use,100,H_PH24_SQ7_100
212,3,Dryland_Rice,1,7,PHASE,25,Gravelly ,50,H_PH25_SQ7_50
213,3,Dryland_Rice,1,7,PHASE,26,Concretionary ,50,H_PH26_SQ7_50
214,3,Dryland_Rice,1,7,ROOTS,0,Rooting - No information (ROO= 0),100,H_PHROO0_SQ7_100
215,3,Dryland_Rice,1,7,ROOTS,1,Rooting - No obstacle  to roots between 0 and 80 cm (ROO=1),100,H_PHROO1_SQ7_100
216,3,Dryland_Rice,1,7,ROOTS,2,Rooting - Obstacle to roots between 60 and 80 cm depth (ROO=2),100,H_PHROO2_SQ7_100
217,3,Dryland_Rice,1,7,ROOTS,3,Rooting - Obstacle to roots between 40 and 60 cm depth (ROO=3),100,H_PHROO3_SQ7_100
218,3,Dryland_Rice,1,7,ROOTS,4,Rooting - Obstacle to roots between 20 and 40 cm depth (ROO=4),75,H_PHROO4_SQ7_100
219,3,Dryland_Rice,1,7,ROOTS,5,Rooting - Obstacle to roots between 0 and 80 cm depth (ROO=5),75,H_PHROO5_SQ7_100
220,3,Dryland_Rice,1,7,ROOTS,6,Rooting - Obstacle to roots between 0 and 20 cm depth (ROO=6),0,H_PHROO6_SQ7_100
221,3,Dryland_Rice,1,7,IL,0,Impermeable layer - No information (IL=0),100,H_PHIL0_SQ7_100
222,3,Dryland_Rice,1,7,IL,1,Impermeable layer - No impermeable within 150 cm (IL=1),100,H_PHIL1_SQ7_100
223,3,Dryland_Rice,1,7,IL,2,Impermeable layer - Impermeable between 80 and 150 cm (IL=2),100,H_PHIL2_SQ7_100
224,3,Dryland_Rice,1,7,IL,3,Impermeable layer - Impermeable between 40 and 80 cm (IL=3),100,H_PHIL3_SQ7_100
225,3,Dryland_Rice,1,7,IL,4,Impermeable layer - Impermeable within 40 cm (IL=4),75,H_PHIL4_SQ7_100
226,4,Maize,1,3,PHASE,1,Stony,75,H_PH01_SQ3_100
227,4,Maize,1,3,PHASE,2,Lithic,50,H_PH02_SQ3_100
228,4,Maize,1,3,PHASE,3,Petric,60,H_PH03_SQ3_50
229,4,Maize,1,3,PHASE,4,Petrocalcic,60,H_PH04_SQ3_50
230,4,Maize,1,3,PHASE,5,Petrogypsic,60,H_PH05_SQ3_50
231,4,Maize,1,3,PHASE,6,Petroferric,60,H_PH06_SQ3_50
232,4,Maize,1,3,PHASE,8,Fragipan,70,H_PH08_SQ3_50
233,4,Maize,1,3,PHASE,9,Duripan,70,H_PH09_SQ3_50
234,4,Maize,1,3,PHASE,13,Anthraquic,70,H_PH13_SQ3_100
235,4,Maize,1,3,PHASE,17,Placic,70,H_PH17_SQ3_50
236,4,Maize,1,3,PHASE,18,Rudic,75,H_PH18_SQ3_100
237,4,Maize,1,3,PHASE,20,Skeletic,60,H_PH20_SQ3_50
238,4,Maize,1,3,PHASE,23,Erosion,100,H_PH23_SQ3_100
239,4,Maize,1,3,PHASE,25,Gravelly ,60,H_PH25_SQ3_50
240,4,Maize,1,3,PHASE,26,Concretionary ,60,H_PH26_SQ3_50
241,4,Maize,1,3,ROOTS,0,Rooting - No information (ROO= 0),100,H_PHROO0_SQ3_100
242,4,Maize,1,3,ROOTS,1,Rooting - No obstacle  to roots between 0 and 80 cm (ROO=1),100,H_PHROO1_SQ3_100
243,4,Maize,1,3,ROOTS,2,Rooting - Obstacle to roots between 60 and 80 cm depth (ROO=2),70,H_PHROO2_SQ3_100
244,4,Maize,1,3,ROOTS,3,Rooting - Obstacle to roots between 40 and 60 cm depth (ROO=3),60,H_PHROO3_SQ3_100
245,4,Maize,1,3,ROOTS,4,Rooting - Obstacle to roots between 20 and 40 cm depth (ROO=4),40,H_PHROO4_SQ3_100
246,4,Maize,1,3,ROOTS,5,Rooting - Obstacle to roots between 0 and 80 cm depth (ROO=5),50,H_PHROO5_SQ3_100
247,4,Maize,1,3,ROOTS,6,Rooting - Obstacle to roots between 0 and 20 cm depth (ROO=6),0,H_PHROO6_SQ3_100
248,4,Maize,1,3,IL,0,Impermeable layer - No information (IL=0),100,H_PHIL0_SQ3_100
249,4,Maize,1,3,IL,1,Impermeable layer - No impermeable within 150 cm (IL=1),100,H_PHIL1_SQ3_100
250,4,Maize,1,3,IL,2,Impermeable layer - Impermeable between 80 and 150 cm (IL=2),100,H_PHIL2_SQ3_100
251,4,Maize,1,3,IL,3,Impermeable layer - Impermeable between 40 and 80 cm (IL=3),60,H_PHIL3_SQ3_100
252,4,Maize,1,3,IL,4,Impermeable layer - Impermeable within 40 cm (IL=4),30,H_PHIL4_SQ3_100
253,4,Maize,1,4,PHASE,7,Phreatic,100,H_PH07_SQ4_100
254,4,Maize,1,4,PHASE,13,Anthraquic,100,H_PH13_SQ4_100
255,4,Maize,1,4,PHASE,16,Inundic,100,H_PH16_SQ4_100
256,4,Maize,1,4,PHASE,17,Placic,100,H_PH17_SQ4_50
257,4,Maize,1,4,PHASE,29,Excessively drained,100,H_PH29_SQ4_100
258,4,Maize,1,4,PHASE,30,Flooded,100,H_PH30_SQ4_100
259,4,Maize,1,4,IL,0,Impermeable layer - No information (IL=0),100,H_PHIL0_SQ4_100
