id,CROP_ID,CROP,input_level,SQI_code,PSCL,PSCL_ID,DrainNum,Drain,score,drainage_id,drainage_req_text
131,3,Dryland_Rice,1,4,F,3,5,W,100,LI_DR5_TXT3,Fine textures - Drainage level Well
132,3,Dryland_Rice,1,4,F,3,6,S,100,LI_DR6_TXT3,Fine textures - Drainage level Somewhat excessive
133,3,Dryland_Rice,1,4,F,3,7,E,100,LI_DR7_TXT3,Fine textures - Drainage level Excessive
134,3,Dryland_Rice,1,4,M,2,1,V,10,LI_DR1_TXT2,Medium textures - Drainage level Very Poor
135,3,Dryland_Rice,1,4,M,2,2,P,50,LI_DR2_TXT2,Medium textures - Drainage level Poor
136,3,Dryland_Rice,1,4,M,2,3,I,90,LI_DR3_TXT2,Medium textures - Drainage level Imperfectly
137,3,Dryland_Rice,1,4,M,2,4,M,100,LI_DR4_TXT2,Medium textures - Drainage level Moderately well
138,3,Dryland_Rice,1,4,M,2,5,W,100,LI_DR5_TXT2,Medium textures - Drainage level Well
139,3,Dryland_Rice,1,4,M,2,6,S,100,LI_DR6_TXT2,Medium textures - Drainage level Somewhat excessive
140,3,Dryland_Rice,1,4,M,2,7,E,100,LI_DR7_TXT2,Medium textures - Drainage level Excessive
141,3,Dryland_Rice,1,4,C,1,1,V,10,LI_DR1_TXT1,Coarse textures - Drainage level Very Poor
142,3,Dryland_Rice,1,4,C,1,2,P,50,LI_DR2_TXT1,Coarse textures - Drainage level Poor
143,3,Dryland_Rice,1,4,C,1,3,I,90,LI_DR3_TXT1,Coarse textures - Drainage level Imperfectly
144,3,Dryland_Rice,1,4,C,1,4,M,100,LI_DR4_TXT1,Coarse textures - Drainage level Moderately well
145,3,Dryland_Rice,1,4,C,1,5,W,100,LI_DR5_TXT1,Coarse textures - Drainage level Well
146,3,Dryland_Rice,1,4,C,1,6,S,100,LI_DR6_TXT1,Coarse textures - Drainage level Somewhat excessive
147,3,Dryland_Rice,1,4,C,1,7,E,100,LI_DR7_TXT1,Coarse textures - Drainage level Excessive
148,3,Dryland_Rice,2,4,F,3,1,V,10,II_DR1_TXT3,Fine textures - Drainage level Very Poor
149,3,Dryland_Rice,2,4,F,3,2,P,50,II_DR2_TXT3,Fine textures - Drainage level Poor
150,3,Dryland_Rice,2,4,F,3,3,I,90,II_DR3_TXT3,Fine textures - Drainage level Imperfectly
151,3,Dryland_Rice,2,4,F,3,4,M,100,II_DR4_TXT3,Fine textures - Drainage level Moderately well
152,3,Dryland_Rice,2,4,F,3,5,W,100,II_DR5_TXT3,Fine textures - Drainage level Well
153,3,Dryland_Rice,2,4,F,3,6,S,100,II_DR6_TXT3,Fine textures - Drainage level Somewhat excessive
154,3,Dryland_Rice,2,4,F,3,7,E,100,II_DR7_TXT3,Fine textures - Drainage level Excessive
155,3,Dryland_Rice,2,4,M,2,1,V,10,II_DR1_TXT2,Medium textures - Drainage level Very Poor
156,3,Dryland_Rice,2,4,M,2,2,P,50,II_DR2_TXT2,Medium textures - Drainage level Poor
157,3,Dryland_Rice,2,4,M,2,3,I,90,II_DR3_TXT2,Medium textures - Drainage level Imperfectly
158,3,Dryland_Rice,2,4,M,2,4,M,100,II_DR4_TXT2,Medium textures - Drainage level Moderately well
159,3,Dryland_Rice,2,4,M,2,5,W,100,II_DR5_TXT2,Medium textures - Drainage level Well
160,3,Dryland_Rice,2,4,M,2,6,S,100,II_DR6_TXT2,Medium textures - Drainage level Somewhat excessive
161,3,Dryland_Rice,2,4,M,2,7,E,100,II_DR7_TXT2,Medium textures - Drainage level Excessive
162,3,Dryland_Rice,2,4,C,1,1,V,10,II_DR1_TXT1,Coarse textures - Drainage level Very Poor
163,3,Dryland_Rice,2,4,C,1,2,P,50,II_DR2_TXT1,Coarse textures - Drainage level Poor
164,3,Dryland_Rice,2,4,C,1,3,I,90,II_DR3_TXT1,Coarse textures - Drainage level Imperfectly
165,3,Dryland_Rice,2,4,C,1,4,M,100,II_DR4_TXT1,Coarse textures - Drainage level Moderately well
166,3,Dryland_Rice,2,4,C,1,5,W,100,II_DR5_TXT1,Coarse textures - Drainage level Well
167,3,Dryland_Rice,2,4,C,1,6,S,100,II_DR6_TXT1,Coarse textures - Drainage level Somewhat excessive
168,3,Dryland_Rice,2,4,C,1,7,E,100,II_DR7_TXT1,Coarse textures - Drainage level Excessive
169,3,Dryland_Rice,5,4,F,3,1,V,90,HI_DR1_TXT3,Fine textures - Drainage level Very Poor
170,3,Dryland_Rice,5,4,F,3,2,P,100,HI_DR2_TXT3,Fine textures - Drainage level Poor
171,3,Dryland_Rice,5,4,F,3,3,I,100,HI_DR3_TXT3,Fine textures - Drainage level Imperfectly
172,3,Dryland_Rice,5,4,F,3,4,M,100,HI_DR4_TXT3,Fine textures - Drainage level Moderately well
173,3,Dryland_Rice,5,4,F,3,5,W,100,HI_DR5_TXT3,Fine textures - Drainage level Well
174,3,Dryland_Rice,5,4,F,3,6,S,100,HI_DR6_TXT3,Fine textures - Drainage level Somewhat excessive
175,3,Dryland_Rice,5,4,F,3,7,E,100,HI_DR7_TXT3,Fine textures - Drainage level Excessive
176,3,Dryland_Rice,5,4,M,2,1,V,90,HI_DR1_TXT2,Medium textures - Drainage level Very Poor
177,3,Dryland_Rice,5,4,M,2,2,P,100,HI_DR2_TXT2,Medium textures - Drainage level Poor
178,3,Dryland_Rice,5,4,M,2,3,I,100,HI_DR3_TXT2,Medium textures - Drainage level Imperfectly
179,3,Dryland_Rice,5,4,M,2,4,M,100,HI_DR4_TXT2,Medium textures - Drainage level Moderately well
180,3,Dryland_Rice,5,4,M,2,5,W,100,HI_DR5_TXT2,Medium textures - Drainage level Well
181,3,Dryland_Rice,5,4,M,2,6,S,100,HI_DR6_TXT2,Medium textures - Drainage level Somewhat excessive
182,3,Dryland_Rice,5,4,M,2,7,E,100,HI_DR7_TXT2,Medium textures - Drainage level Excessive
183,3,Dryland_Rice,5,4,C,1,1,V,90,HI_DR1_TXT1,Coarse textures - Drainage level Very Poor
184,3,Dryland_Rice,5,4,C,1,2,P,100,HI_DR2_TXT1,Coarse textures - Drainage level Poor
185,3,Dryland_Rice,5,4,C,1,3,I,100,HI_DR3_TXT1,Coarse textures - Drainage level Imperfectly
186,3,Dryland_Rice,5,4,C,1,4,M,100,HI_DR4_TXT1,Coarse textures - Drainage level Moderately well
187,3,Dryland_Rice,5,4,C,1,5,W,100,HI_DR5_TXT1,Coarse textures - Drainage level Well
188,3,Dryland_Rice,5,4,C,1,6,S,100,HI_DR6_TXT1,Coarse textures - Drainage level Somewhat excessive
189,3,Dryland_Rice,5,4,C,1,7,E,100,HI_DR7_TXT1,Coarse textures - Drainage level Excessive
190,4,Maize,1,4,F,3,1,V,10,LI_DR1_TXT3,Fine textures - Drainage level Very Poor
191,4,Maize,1,4,F,3,2,P,50,LI_DR2_TXT3,Fine textures - Drainage level Poor
192,4,Maize,1,4,F,3,3,I,90,LI_DR3_TXT3,Fine textures - Drainage level Imperfectly
193,4,Maize,1,4,F,3,4,M,100,LI_DR4_TXT3,Fine textures - Drainage level Moderately well
194,4,Maize,1,4,F,3,5,W,100,LI_DR5_TXT3,Fine textures - Drainage level Well
195,4,Maize,1,4,F,3,6,S,100,LI_DR6_TXT3,Fine textures - Drainage level Somewhat excessive
196,4,Maize,1,4,F,3,7,E,100,LI_DR7_TXT3,Fine textures - Drainage level Excessive
197,4,Maize,1,4,M,2,1,V,10,LI_DR1_TXT2,Medium textures - Drainage level Very Poor
198,4,Maize,1,4,M,2,2,P,50,LI_DR2_TXT2,Medium textures - Drainage level Poor
199,4,Maize,1,4,M,2,3,I,90,LI_DR3_TXT2,Medium textures - Drainage level Imperfectly
200,4,Maize,1,4,M,2,4,M,100,LI_DR4_TXT2,Medium textures - Drainage level Moderately well
201,4,Maize,1,4,M,2,5,W,100,LI_DR5_TXT2,Medium textures - Drainage level Well
202,4,Maize,1,4,M,2,6,S,100,LI_DR6_TXT2,Medium textures - Drainage level Somewhat excessive
203,4,Maize,1,4,M,2,7,E,100,LI_DR7_TXT2,Medium textures - Drainage level Excessive
